image,prediction,latency_ms
car_104.jpg,30G 58236,43.62130000004072
car_107.jpg,26A 08211,25.521499999968
car_115.jpg,30F 07555,33.64639999995234
car_123.jpg,89LD 00275,30.659700000114753
car_130.jpg,21A 08531,25.38549999985662
car_137.jpg,30E 77379,23.47349999990911
car_138.jpg,30G 03947,24.057000000084372
car_147.jpg,29A 77998,23.867100000188657
car_151.jpg,89A 20664,21.85589999999138
car_180.jpg,89A 10993,21.870600000056584
car_186.jpg,30F 80651,24.597200000016528
car_195.jpg,30F 77294,23.467300000220348
car_204.jpg,89A 10868,20.459700000174053
car_214.jpg,30A 57785,23.899699999901713
car_236.jpg,30G 58236,26.44929999996748
car_241.jpg,30G 58858,21.92760000002636
car_249.jpg,29A 46294,20.73360000008506
car_269.jpg,30G 47825,25.352099999963684
car_28.jpg,30F 68947,21.04679999979453
car_286.jpg,29V 1910,22.496699999919656
car_300.jpg,30F 92619,22.31449999999313
car_307.jpg,29D 09566,22.71969999992507
car_316.jpg,30E 02141,24.589000000105443
car_325.jpg,89A 12433,23.457900000039444
car_353.jpg,30F 86034,20.607299999937823
car_386.jpg,24A 15935,22.678900000073554
car_388.jpg,30E 91177,22.295200000144177
car_389.jpg,30A 90546,22.18359999983477
car_40.jpg,24H 00082,23.01009999996495
car_405.jpg,30F 97025,21.938799999816183
car_41.jpg,89A 15717,23.46229999989191
car_45.jpg,30E 99120,21.51359999993474
car_461.jpg,30A 49689,22.006800000099247
car_467.jpg,30E 04914,22.557700000106706
car_47.jpg,30A 89464,19.69809999991412
car_48.jpg,29A 92839,21.964000000025408
car_482.jpg,29D 05685,22.850999999945998
car_492.jpg,30A 32867,23.06640000006155
car_499.jpg,30F 70179,21.96249999997235
car_500.jpg,30E 66266,23.29779999990933
car_508.jpg,14A 09290,21.959599999945567
car_524.jpg,30G 61085,23.862000000008265
car_526.jpg,30F 10317,22.891799999797513
car_528.jpg,30E 54099,21.947300000192627
car_529.jpg,30F 90540,22.574900000108755
car_540.jpg,30A 96308,22.74499999998625
car_559.jpg,36A 04104,21.39390000002095
car_564.jpg,29A 42050,23.176199999852543
car_57.jpg,29A 92201,23.35739999989528
car_574.jpg,29N 1910,21.9617999998718
car_582.jpg,30F 32598,22.880999999870255
car_90.jpg,30E 32665,22.171000000071217
car_92.jpg,30A 97061,23.793800000021292
mb_101.jpg,72K6 7070,21.21790000001056
mb_106.jpg,54S7 4959,22.75540000005094
mb_124.jpg,59E1 63978,21.58499999995911
mb_131.jpg,49B1 03126,23.78040000007786
mb_147.jpg,59M1 97580,21.829600000046412
mb_149.jpg,59U1 59897,22.306600000092658
mb_154.jpg,63H5 1336,23.925599999984115
mb_166.jpg,68K1 21002,21.8253000000459
mb_178.jpg,54P8 3069,24.50999999996384
mb_200.jpg,59E1 53139,22.858199999973294
mb_204.jpg,54F3 9952,21.974799999952666
mb_210.jpg,54S8 8080,24.011100000052465
mb_215.jpg,54D1 4469,26.83630000001358
mb_231.jpg,59V1 89404,21.99319999999716
mb_236.jpg,59M1 87957,22.13989999995647
mb_239.jpg,54P2 4924,23.34530000007362
mb_242.jpg,71S5 5600,20.110599999952683
mb_255.jpg,66L1 26685,21.31280000003244
mb_30.jpg,66L1 35224,22.129700000050434
mb_300.jpg,54R3 9587,20.532300000013493
mb_301.jpg,72F1 35507,23.3579999999165
mb_306.jpg,60B3 25220,22.76819999997315
mb_31.jpg,59T1 24340,26.08870000017305
mb_318.jpg,771 37372,21.26090000001568
mb_321.jpg,59V2 48612,22.072999999863896
mb_329.jpg,59L2 11894,21.44799999996394
mb_351.jpg,59F1 49271,20.967899999959627
mb_36.jpg,59H1 54752,21.327500000097643
mb_360.jpg,54K5 4498,22.316899999850648
mb_365.jpg,72C1 52693,23.845599999958722
mb_386.jpg,52P2 0878,20.61690000005001
mb_4.jpg,59T1 92270,24.746800000002622
mb_403.jpg,61C1 52787,30.513100000007398
mb_415.jpg,59T1 29613,31.388200000037614
mb_423.jpg,59T1 00381,26.776399999789646
mb_425.jpg,38Z1 0084,27.117699999962497
mb_429.jpg,54V7 9675,43.623799999977564
mb_440.jpg,59L1 84759,35.58040000007168
mb_449.jpg,51L6 8446,20.243399999799294
mb_455.jpg,54H1 4882,22.656000000097265
mb_46.jpg,59L1 49944,21.17920000000595
mb_48.jpg,60X4 6482,22.314700000151788
mb_498.jpg,59M1 70791,23.858599999812213
mb_505.jpg,59C1 65331,23.613400000158435
mb_508.jpg,54L2 4264,23.109599999997954
mb_524.jpg,59E1 17936,21.96189999995113
mb_537.jpg,59S1 78384,23.248899999998685
mb_555.jpg,64L5 9913,21.015500000203247
mb_563.jpg,59M1 76049,21.794499999941763
mb_570.jpg,51H4 9707,23.14139999998588
mb_571.jpg,59S2 46039,22.435899999891262
mb_573.jpg,59F1 36564,21.77069999993364
mb_576.jpg,60B7 36638,22.331799999847135
mb_578.jpg,59B1 33872,20.58519999991404
mb_581.jpg,54T1 7232,22.663599999987127
mb_585.jpg,47H7 5226,23.25240000004669
mb_587.jpg,43H7 6799,22.238300000026356
mb_590.jpg,92H1 03003,21.62670000006983
mb_593.jpg,59H1 25521,22.40679999999884
mb_65.jpg,54S8 5489,22.660899999891626
mb_68.jpg,59F1 31469,26.817700000037803
mb_70.jpg,59M1 97372,21.25579999983529
mb_73.jpg,54R5 7406,21.45139999993262
mb_90.jpg,59V2 44588,23.063200000024153
mb_95.jpg,60B5 58583,20.84049999984927
type1_002.jpg,36C 48794,22.500900000068214
type1_010_lp.jpg,60K 34161,23.839899999984482
type1_015.jpg,60K 06248,21.88709999995808
type1_015_lp.jpg,60K 06248,21.48569999985739
type1_026_lp.jpg,51K 49862,23.491500000091037
type1_027.jpg,67A 06969,24.62609999997767
type1_031.jpg,51L 28910,21.024799999850075
type1_034.jpg,60A 66342,24.778299999979936
type1_035_lp.jpg,60A 80612,28.11999999994441
type1_037.jpg,60A 20487,22.034800000028554
type1_041_lp.jpg,60A 37712,22.441100000150982
type1_047.jpg,30L 27132,26.741500000071028
type1_047_lp.jpg,30L 27132,26.80669999995189
type1_048_lp.jpg,29H 00046,23.74869999994189
type1_050_lp.jpg,30L 00802,23.492300000043542
type1_071.jpg,50H 60624,25.501600000097824
type1_074_lp.jpg,68A 25328,23.256599999967875
type1_087_lp.jpg,30E 64567,25.938900000028298
type1_092.jpg,30H 18730,23.606199999903765
type1_092_lp.jpg,30H 18730,22.828600000138977
type1_093.jpg,30H 36405,23.47979999990457
type1_101_lp.jpg,30E 13469,24.09380000017336
type1_102_lp.jpg,29H 44440,24.478600000065853
type1_109.jpg,30H 34349,22.1452999999201
type1_112_lp.jpg,30E 11816,25.226799999927607
type1_114.jpg,30X 9809,25.59089999999742
type1_117.jpg,30G 6853,25.233999999954904
type1_119.jpg,30A 84170,23.753599999963626
type1_122.jpg,30G 10339,26.34659999989708
type1_127_lp.jpg,29X 4135,24.285599999984697
type1_132.jpg,30K 92976,27.055799999970986
type1_143.jpg,60A 60793,23.913399999855756
type1_145.jpg,60A 66417,26.713700000073004
type1_147_lp.jpg,60A 47945,30.299799999966126
type1_154_lp.jpg,60K 31693,24.658900000076756
type1_155_lp.jpg,29A 78294,26.025500000059765
type1_164_lp.jpg,60K 12381,25.57089999982054
type1_169_lp.jpg,30L 40032,24.99079999984133
type1_175_lp.jpg,30H 88279,24.194399999942107
type1_177.jpg,99A 08912,26.391599999897153
type1_191.jpg,36A 33573,25.845399999980145
type1_197.jpg,36A 78656,25.58849999991253
type1_204.jpg,36A 98581,24.491699999998673
type1_205.jpg,36A 43395,25.480199999947217
type1_221.jpg,36A 12986,24.66309999999794
type1_222_lp.jpg,36A 53805,24.305600000161576
type1_225_lp.jpg,36A 20993,24.12370000001829
type1_226.jpg,36A 41126,25.592999999844324
