image,ocr_image,plate_detected,det_conf,bbox,plate_color,detector_fallback_used,detector_fallback_prediction,detector_fallback_crop,color_white,color_yellow,color_blue,color_red,prediction,prediction_normalized,selected_model,validity_score,ground_truth,char_acc,full_plate_correct,total_time_ms,train1_paddleocr_pred,train1_paddleocr_score,train1_paddleocr_time_ms,train1_paddleocr_error,train2_best_ema_pred,train2_best_ema_score,train2_best_ema_time_ms,train2_best_ema_error
car_104.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_104.jpg,,,,unknown,False,,,0.0013,0.0007,0.0000,0.0000,30G58236,30G58236,merged_train2_train1,13,30G 58236,1.0,True,357.759,530.36,2,237.271,,30G 58236,13,120.488,
car_107.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_107.jpg,,,,white,False,,,0.4306,0.0000,0.0000,0.0145,26A08211,26A08211,merged_train2_train1,13,26A 08211,1.0,True,95.443,26A-082.11,13,53.768,,2 6A081,5,41.675,
car_115.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_115.jpg,,,,white,False,,,0.5404,0.1653,0.0000,0.0000,30F03055,30F03055,merged_train2_train1,13,30F 07555,0.75,False,101.739,030.55,2,46.051,,30F 0755,13,55.688,
car_123.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_123.jpg,,,,white,False,,,0.1161,0.0001,0.0000,0.0001,89LD00275,89LD00275,merged_train2_train1,18,89LD 00275,1.0,True,167.233,0091,2,46.211,,89LD 00275,18,121.022,
car_130.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_130.jpg,,,,white,False,,,0.5348,0.0000,0.0000,0.0000,21A08531,21A08531,merged_train2_train1,13,21A 08531,1.0,True,83.284,21A-085.31,13,37.356,,2 1A085,5,45.928,
car_137.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_137.jpg,,,,unknown,False,,,0.0000,0.0000,0.0000,0.0000,30E77379,30E77379,merged_train2_train1,13,30E 77379,1.0,True,106.972,730E9,3,33.817,,30E 77379,13,73.155,
car_138.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_138.jpg,,,,white,False,,,0.2238,0.0000,0.0000,0.0000,30G03947,30G03947,merged_train2_train1,13,30G 03947,1.0,True,106.411,EOG-03917,3,33.283,,30G 03947,13,73.128,
car_147.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_147.jpg,,,,white,False,,,0.4441,0.0000,0.0002,0.0000,29A77998,29A77998,merged_train2_train1,13,29A 77998,1.0,True,86.080,29A-779.98,13,34.524,,2 9A778,5,51.555,
car_151.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_151.jpg,,,,white,False,,,0.4124,0.0000,0.0000,0.0000,89A20664,89A20664,merged_train2_train1,13,89A 20664,1.0,True,87.802,89A-206.64,13,38.867,,89A 2064,13,48.935,
car_180.jpg,C:\Users\Admin\ducmanhjr\sosanh\ocr_dataset\test\car_180.jpg,,,,white,False,,,0.5520,0.0000,0.0273,0.0000,89A10993,89A10993,merged_train2_train1,13,89A 10993,1.0,True,90.218,89A-109.93,13,39.996,,8 9A103,5,50.222,
